iter	Passed	Remaining
126	18984	130499
127	19110	130192
128	19214	129734
129	19331	129371
130	19447	129009
131	19576	128732
132	19720	128552
133	19884	128509
134	19983	128042
135	20124	127850
136	20252	127578
137	20349	127109
138	20452	126685
139	20546	126215
140	20698	126099
141	20854	126007
142	20962	125628
143	21077	125294
144	21223	125147
145	21346	124860
146	21484	124671
147	21608	124395
148	21741	124173
149	21894	124070
150	22049	123975
151	22168	123676
152	22284	123366
153	22415	123137
154	22538	122868
155	22646	122524
156	22769	122259
157	22865	121850
158	22968	121485
159	23076	121150
160	23221	121010
161	23342	120746
162	23443	120379
163	23580	120202
164	23700	119936
165	23947	120316
166	24123	120327
167	24256	120127
168	24482	120382
169	24607	120141
170	24744	119958
171	24886	119801
172	25036	119682
173	25186	119564
174	25303	119287
175	25424	119031
176	25588	118979
177	25706	118712
178	25869	118653
179	25982	118363
180	26145	118306
181	26268	118063
182	26415	117932
183	26533	117672
184	26700	117625
185	26825	117399
186	26968	117246
187	27115	117114
188	27271	117021
189	27428	116930
190	27562	116745
191	27736	116725
192	27855	116472
193	27978	116238
194	28099	115998
195	28204	115697
196	28377	115670
197	28551	115648
198	28678	115435
199	28823	115294
200	28960	115120
201	29088	114914
202	29264	114895
203	29416	114783
204	29534	114536
205	29691	114441
206	29817	114230
207	29916	113912
208	30121	114001
209	30230	113723
210	30363	113539
211	30475	113277
212	30616	113124
213	30726	112854
214	30848	112631
215	30967	112402
216	31081	112152
217	31226	112013
218	31340	111767
219	31493	111657
220	31621	111463
221	31735	111217
222	31865	111028
223	31970	110755
224	32082	110506
225	32208	110308
226	32321	110063
227	32446	109862
228	32579	109689
229	32773	109718
230	32875	109442
231	32988	109201
232	33102	108967
233	33228	108772
234	33345	108548
235	33456	108308
236	33552	108019
237	33647	107727
238	33739	107431
239	33841	107165
240	33956	106941
241	34050	106653
242	34145	106370
243	34243	106098
244	34353	105866
245	34449	105589
246	34546	105319
247	34655	105085
248	34755	104825
249	34852	104558
250	34950	104293
251	35046	104026
252	35165	103829
253	35261	103562
254	35377	103356
255	35511	103206
256	35610	102953
257	35711	102704
258	35810	102453
259	35909	102203
260	36006	101948
261	36120	101742
262	36221	101501
263	36317	101248
264	36412	100993
265	36532	100807
266	36631	100564
267	36726	100313
268	36826	100076
269	36921	99824
270	37036	99629
271	37133	99387
272	37235	99159
273	37330	98913
274	37428	98675
275	37557	98520
276	37654	98281
277	37751	98044
278	37882	97897
279	38046	97834
280	38208	97764
281	38381	97722
282	38543	97652
283	38664	97477
284	38796	97330
285	38897	97108
286	39047	97007
287	39145	96775
288	39256	96578
289	39405	96476
290	39560	96386
291	39701	96261
292	39825	96096
293	39924	95872
294	40086	95799
295	40231	95685
296	40392	95610
297	40524	95463
298	40660	95327
299	40792	95182
300	40986	95182
301	41145	95098
302	41324	95058
303	41457	94916
304	41592	94776
305	41707	94591
306	41871	94517
307	42081	94545
308	42240	94459
309	42344	94249
310	42439	94022
311	42604	93948
312	42732	93793
313	42860	93637
314	43004	93517
315	43139	93378
316	43265	93217
317	43368	93011
318	43489	92840
319	43641	92739
320	43876	92810
321	44062	92777
322	44221	92687
323	44368	92571
324	44530	92486
325	44650	92313
326	44778	92158
327	44886	91962
328	45019	91817
329	45163	91696
330	45393	91746
331	45515	91578
332	45637	91412
333	45761	91248
334	45907	91130
335	46051	91006
336	46156	90807
337	46260	90605
338	46374	90424
339	46513	90291
340	46690	90231
341	46799	90041
342	46986	89999
343	47125	89866
344	47257	89721
345	47446	89682
346	47621	89615
347	47768	89496
348	47903	89355
349	48047	89231
350	48187	89098
351	48302	88920
352	48438	88780
353	48547	88591
354	48648	88389
355	48781	88244
356	48903	88080
357	49061	87982
358	49183	87817
359	49333	87703
360	49432	87500
361	49531	87295
362	49634	87099
363	49786	86989
364	49885	86787
365	50007	86625
366	50118	86444
367	50220	86248
368	50336	86076
369	50480	85952
370	50592	85775
371	50694	85580
372	50821	85428
373	50905	85205
374	51022	85037
375	51158	84900
376	51271	84727
377	51416	84605
378	51542	84452
379	51681	84322
380	51781	84128
381	51905	83972
382	52018	83800
383	52141	83643
384	52247	83459
385	52408	83365
386	52520	83190
387	52665	83070
388	52778	82899
389	52911	82759
390	53029	82595
391	53133	82410
392	53283	82297
393	53453	82215
394	53583	82070
395	53678	81873
396	53868	81820
397	54010	81693
398	54137	81545
399	54253	81379
400	54407	81272
401	54533	81122
402	54692	81021
403	54864	80938
404	55033	80851
405	55148	80684
406	55281	80545
407	55387	80365
408	55519	80225
409	55637	80064
410	55757	79904
411	55886	79760
412	56028	79633
413	56138	79461
414	56235	79271
415	56354	79112
416	56452	78925
417	56577	78775
418	56696	78617
419	56791	78425
420	56915	78276
421	57068	78164
422	57211	78039
423	57360	77923
424	57523	77825
425	57631	77654
426	57742	77486
427	57892	77370
428	58016	77220
429	58177	77119
430	58301	76968
431	58436	76832
432	58574	76701
433	58706	76561
434	58803	76377
435	58952	76259
436	59110	76153
437	59210	75973
438	59310	75792
439	59422	75628
440	59544	75477
441	59683	75347
442	59809	75200
443	59927	75044
444	60055	74900
445	60206	74785
446	60328	74635
447	60466	74503
448	60589	74353
449	60694	74182
450	60854	74077
451	61004	73961
452	61178	73873
453	61275	73692
454	61388	73531
455	61508	73378
456	61702	73313
457	61819	73157
458	61952	73020
459	62087	72885
460	62224	72752
461	62324	72577
462	62474	72459
463	62665	72389
464	62802	72256
465	62941	72126
466	63094	72011
467	63193	71834
468	63289	71656
469	63490	71595
470	63633	71469
471	63778	71345
472	63896	71190
473	64049	71076
474	64145	70897
475	64273	70754
476	64417	70629
477	64534	70474
478	64661	70331
479	64823	70225
480	64955	70087
481	65105	69968
482	65229	69821
483	65363	69684
484	65482	69532
485	65639	69420
486	65786	69298
487	65947	69190
488	66061	69033
489	66167	68868
490	66287	68717
491	66389	68548
492	66677	68571
493	66869	68493
494	67032	68386
495	67198	68281
496	67330	68142
497	67484	68026
498	67595	67866
499	67719	67719
500	67836	67565
501	68003	67461
502	68207	67393
503	68361	67276
504	68553	67195
505	68671	67042
506	68806	66906
507	68927	66756
508	69052	66610
509	69241	66526
510	69477	66486
511	69637	66373
512	69893	66350
513	70063	66246
514	70298	66203
515	70397	66032
516	70584	65942
517	70706	65792
518	70891	65701
519	70993	65532
520	71147	65412
521	71331	65319
522	71452	65167
523	71660	65096
524	71812	64973
525	71962	64848
526	72105	64716
527	72237	64575
528	72391	64454
529	72514	64305
530	72617	64138
531	72727	63978
532	72837	63818
533	72970	63678
534	73140	63570
535	73243	63405
536	73365	63255
537	73471	63092
538	73578	62930
539	73678	62763
540	73823	62634
541	73928	62470
542	74074	62342
543	74215	62210
544	74399	62113
545	74568	62004
546	74701	61864
547	74862	61748
548	75006	61617
549	75177	61508
550	75356	61406
551	75521	61293
552	75664	61160
553	75807	61028
554	75909	60864
555	76023	60709
556	76128	60547
557	76284	60426
558	76387	60262
559	76539	60137
560	76650	59981
561	76777	59837
562	76909	59696
563	77074	59582
564	77191	59430
565	77343	59305
566	77475	59165
567	77644	59053
568	77750	58893
569	77924	58785
570	78037	58630
571	78215	58524
572	78391	58417
573	78573	58313
574	78701	58170
575	78854	58045
576	79016	57926
577	79165	57799
578	79288	57652
579	79437	57523
580	79577	57388
581	79743	57272
582	79876	57133
583	79997	56984
584	80161	56866
585	80307	56736
586	80426	56586
587	80573	56456
588	80689	56304
589	80878	56203
590	81058	56096
591	81244	55992
592	81410	55875
593	81645	55804
594	81872	55728
595	82000	55583
596	82110	55428
597	82247	55289
598	82363	55138
599	82479	54986
600	82591	54831
601	82728	54694
602	82826	54530
603	82929	54370
604	83122	54270
605	83242	54121
606	83336	53955
607	83527	53853
608	83691	53732
609	83792	53572
610	83983	53469
611	84137	53342
612	84277	53206
613	84443	53086
614	84561	52936
615	84697	52798
616	84866	52680
617	85064	52580
618	85230	52460
619	85383	52332
620	85534	52202
621	85719	52092
622	85863	51959
623	86038	51843
624	86215	51729
625	86393	51615
626	86531	51477
627	86747	51385
628	86971	51298
629	87082	51143
630	87245	51020
631	87394	50887
632	87507	50734
633	87657	50603
634	87802	50469
635	88008	50369
636	88240	50284
637	88365	50138
638	88467	49979
639	88589	49831
640	88719	49688
641	88834	49536
642	88970	49397
643	89112	49260
644	89238	49115
645	89410	48995
646	89539	48852
647	89679	48714
648	89818	48576
649	89920	48418
650	90042	48271
651	90141	48112
652	90245	47955
653	90345	47797
654	90444	47638
655	90544	47480
656	90683	47343
657	90834	47211
658	90966	47070
659	91095	46927
660	91196	46770
661	91321	46626
662	91455	46486
663	91566	46335
664	91666	46178
665	91792	46034
666	91922	45892
667	92043	45746
668	92142	45589
669	92244	45433
670	92350	45280
671	92455	45127
672	92586	44986
673	92694	44834
674	92843	44702
675	92990	44569
676	93101	44419
677	93217	44271
678	93351	44132
679	93489	43994
680	93648	43867
681	93768	43721
682	93872	43569
683	94031	43441
684	94130	43286
685	94240	43136
686	94399	43008
687	94520	42863
688	94620	42709
689	94722	42556
690	94822	42402
691	94925	42249
692	95040	42103
693	95152	41954
694	95255	41802
695	95363	41652
696	95468	41502
697	95602	41363
698	95741	41227
699	95873	41088
700	95972	40935
701	96096	40793
702	96235	40656
703	96375	40521
704	96491	40375
705	96598	40226
706	96695	40073
707	96804	39924
708	96932	39784
709	97034	39633
710	97142	39485
711	97275	39347
712	97389	39201
713	97505	39056
714	97625	38913
715	97733	38765
716	97873	38630
717	97976	38481
718	98195	38376
719	98357	38250
720	98491	38112
721	98603	37966
722	98720	37822
723	98824	37673
724	98932	37526
725	99040	37378
726	99205	37253
727	99312	37105
728	99459	36973
729	99583	36832
730	99700	36688
731	99854	36558
732	100003	36426
733	100116	36281
734	100310	36166
735	100447	36029
736	100561	35885
737	100702	35750
738	100892	35633
739	100994	35484
740	101152	35355
741	101273	35213
742	101417	35079
743	101532	34936
744	101679	34803
745	101831	34671
746	101985	34541
747	102095	34395
748	102235	34260
749	102381	34127
750	102574	34009
751	102732	33879
752	102946	33768
753	103078	33630
754	103264	33509
755	103435	33383
756	103595	33254
757	103738	33119
758	103885	32986
759	104017	32847
760	104153	32710
761	104265	32565
762	104557	32477
763	104719	32347
764	104845	32207
765	104998	32075
766	105107	31929
767	105225	31786
768	105346	31644
769	105470	31504
770	105588	31361
771	105746	31230
772	105865	31088
773	106114	30984
774	106221	30838
775	106373	30705
776	106582	30589
777	106721	30452
778	106904	30328
779	107022	30185
780	107122	30038
781	107223	29890
782	107381	29759
783	107493	29615
784	107627	29477
785	107734	29332
786	107843	29187
787	108027	29063
788	108156	28924
789	108270	28780
790	108394	28640
791	108502	28495
792	108612	28351
793	108764	28218
794	108913	28084
795	109013	27938
796	109144	27799
797	109319	27672
798	109443	27532
799	109588	27397
800	109736	27262
801	109905	27133
802	110021	26991
803	110127	26847
804	110273	26712
805	110433	26580
806	110579	26445
807	110681	26300
808	110809	26161
809	110953	26026
810	111079	25886
811	111234	25753
812	111332	25607
813	111434	25462
814	111632	25339
815	111816	25213
816	111954	25076
817	112077	24936
818	112254	24808
819	112383	24669
820	112486	24525
821	112626	24388
822	112729	24244
823	112886	24111
824	113085	23987
825	113276	23862
826	113379	23717
827	113510	23579
828	113665	23446
829	113783	23305
830	113896	23163
831	114017	23022
832	114134	22881
833	114240	22738
834	114352	22596
835	114502	22462
836	114658	22328
837	114817	22196
838	114975	22063
839	115124	21928
840	115252	21789
841	115378	21650
842	115480	21506
843	115583	21363
844	115683	21220
845	115830	21085
846	115951	20945
847	116042	20800
848	116176	20662
849	116297	20523
850	116431	20385
851	116530	20242
852	116679	20107
853	116766	19962
854	116880	19821
855	116983	19679
856	117151	19548
857	117254	19405
858	117359	19263
859	117466	19122
860	117567	18980
861	117755	18851
862	117857	18709
863	117989	18572
864	118163	18441
865	118326	18309
866	118448	18170
867	118581	18033
868	118705	17894
869	118874	17762
870	119040	17630
871	119190	17495
872	119328	17359
873	119474	17223
874	119612	17087
875	119789	16956
876	119959	16824
877	120125	16691
878	120237	16551
879	120367	16413
880	120466	16271
881	120590	16133
882	120795	16005
883	120916	15866
884	121028	15726
885	121228	15598
886	121401	15466
887	121553	15331
888	121700	15195
889	121799	15053
890	121988	14923
891	122161	14790
892	122278	14651
893	122433	14516
894	122608	14384
895	122764	14249
896	122880	14110
897	123023	13973
898	123149	13835
899	123290	13698
900	123400	13558
901	123531	13421
902	123673	13285
903	123812	13148
904	123973	13013
905	124099	12875
906	124199	12734
907	124314	12595
908	124447	12458
909	124562	12319
910	124714	12183
911	124818	12043
912	124941	11905
913	125078	11768
914	125238	11634
915	125339	11494
916	125453	11355
917	125567	11216
918	125679	11077
919	125842	10942
920	125964	10804
921	126065	10665
922	126178	10526
923	126282	10386
924	126429	10251
925	126588	10116
926	126731	9979
927	126859	9842
928	127004	9706
929	127123	9568
930	127273	9432
931	127370	9293
932	127560	9160
933	127698	9023
934	127849	8887
935	127956	8749
936	128078	8611
937	128210	8474
938	128381	8339
939	128545	8205
940	128644	8065
941	128792	7929
942	128936	7793
943	129034	7654
944	129135	7515
945	129238	7377
946	129350	7239
947	129457	7101
948	129557	6962
949	129685	6825
950	129805	6688
951	129906	6549
952	130005	6411
953	130104	6273
954	130270	6138
955	130401	6001
956	130563	5866
957	130700	5730
958	130834	5593
959	130989	5457
960	131092	5320
961	131193	5182
962	131297	5044
963	131409	4907
964	131564	4771
965	131728	4636
966	131886	4500
967	132009	4363
968	132115	4226
969	132241	4089
970	132342	3952
971	132498	3816
972	132597	3679
973	132700	3542
974	132856	3406
975	133006	3270
976	133128	3134
977	133263	2997
978	133415	2861
979	133608	2726
980	133753	2590
981	133868	2453
982	133966	2316
983	134105	2180
984	134226	2044
985	134337	1907
986	134469	1771
987	134593	1634
988	134748	1498
989	134920	1362
990	135056	1226
991	135162	1090
992	135381	954
993	135506	817
994	135620	681
995	135801	545
996	135973	409
997	136075	272
998	136233	136
999	136407	0
