iter	Poisson
0	0.9318076051
1	0.8702601898
2	0.8142847546
3	0.7656301842
4	0.7199586973
5	0.6794361908
6	0.6429301597
7	0.6102110879
8	0.5810023657
9	0.5541398408
10	0.53078269
11	0.5086532151
12	0.4890755947
13	0.4713872256
14	0.4550787516
15	0.4404140996
16	0.427117368
17	0.4149489426
18	0.403497042
19	0.3929144342
20	0.3835499556
21	0.3749264206
22	0.3668020026
23	0.3592987774
24	0.3523006859
25	0.3459453318
26	0.3402486948
27	0.3350178396
28	0.3299386546
29	0.3253698462
30	0.3211024725
31	0.3168099282
32	0.313211077
33	0.3095245289
34	0.3063396775
35	0.303261627
36	0.3007572981
37	0.2983034695
38	0.2960900081
39	0.2938664445
40	0.2918043792
41	0.2896633576
42	0.2877483961
43	0.2861749865
44	0.2845373143
45	0.2830345814
46	0.2818281384
47	0.2794927576
48	0.2762661897
49	0.2732853662
50	0.2705337835
51	0.2688365232
52	0.2664292698
53	0.2646337934
54	0.2625674679
55	0.2610093177
56	0.2592033853
57	0.2575275782
58	0.2562754001
59	0.2551050296
60	0.2537054114
61	0.2526872548
62	0.2517344874
63	0.2508467484
64	0.2502847291
65	0.2494920127
66	0.2488948359
67	0.2484823798
68	0.2480943941
69	0.2471490372
70	0.2467494572
71	0.2462830727
72	0.2446224618
73	0.2407125528
74	0.2393327283
75	0.2360938478
76	0.2349742414
77	0.2339183356
78	0.2329199786
79	0.2320016367
80	0.2311371372
81	0.2303324616
82	0.2295774876
83	0.2291452225
84	0.2269158813
85	0.2263103864
86	0.2257382788
87	0.2252012498
88	0.224702251
89	0.2229747808
90	0.2225553697
91	0.2210787719
92	0.2207280543
93	0.2205127681
94	0.2201603854
95	0.2198300504
96	0.2195248765
97	0.2192292825
98	0.2190626252
99	0.2187941522
100	0.2176542685
101	0.217419329
102	0.21720573
103	0.2170637675
104	0.2169196611
105	0.2159528477
106	0.2151087631
107	0.2149851505
108	0.2148784561
109	0.2148122048
110	0.2147284172
111	0.2139704064
112	0.2133188938
113	0.2131943522
114	0.2130809543
115	0.2129863353
116	0.2129076917
117	0.2128723795
118	0.2128055344
119	0.2127114028
120	0.2126331798
121	0.2125767588
122	0.2124678007
123	0.2123961327
124	0.2118514681
125	0.2118093185
126	0.2117516783
127	0.2116389129
128	0.2115389332
129	0.2115074686
130	0.2114428362
131	0.211419917
132	0.2113684008
133	0.2113177207
134	0.211272539
135	0.2112223978
136	0.2111905273
137	0.2103029958
138	0.2102383338
